,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
89,Evansville,33,16,17,.485,1.45,2.42,,6,12,,13,4,,2,9,,69.3,68.5,,40.5,24.2,53.4,.454,3.85,10.5,.366,17.0,23.8,.713,9.03,34.4,13.4,5.21,3.00,11.8,20.0
90,Fairfield,31,16,15,.516,-4.75,-3.85,,11,9,,7,6,,8,8,,72.6,73.5,,40.3,26.5,60.0,.442,8.45,25.2,.335,11.1,16.3,.682,8.87,36.0,15.0,5.35,2.97,13.4,18.3
91,Fairleigh Dickinson,30,11,19,.367,-9.28,-5.31,,9,9,,7,4,,3,14,,72.8,75.0,,40.2,25.1,57.1,.440,6.70,20.2,.332,15.8,20.7,.765,9.70,33.1,12.2,6.30,2.60,13.3,21.2
92,Florida A&M,30,7,23,.233,-20.88,-11.85,,5,11,,4,10,,3,11,,71.8,78.8,,40.7,25.4,60.0,.423,6.23,17.9,.348,14.7,22.4,.659,10.2,34.9,12.6,6.57,3.30,13.6,18.9
93,Florida Atlantic,30,10,20,.333,-7.95,-1.98,,6,12,,5,9,,5,8,,70.3,74.0,,40.5,25.2,61.3,.411,6.80,21.3,.319,13.1,18.6,.703,10.5,35.5,12.3,5.70,3.10,11.6,19.0
94,Florida Gulf Coast NCAA,34,26,8,.765,2.26,-3.42,,12,2,,16,3,,10,3,,79.4,69.3,,40.3,29.6,59.3,.499,6.50,18.7,.347,13.7,19.5,.702,11.1,37.3,15.5,6.09,3.41,12.4,18.7
95,Florida International,31,7,24,.226,-8.10,-3.27,,3,15,,6,9,,1,13,,70.3,73.6,,41.0,26.0,57.2,.454,5.84,17.6,.332,12.5,16.6,.750,10.2,33.9,11.2,5.97,2.16,13.3,18.4
96,Florida State NCAA,35,26,9,.743,18.87,8.87,,12,6,,18,0,,3,6,,82.1,72.1,,40.0,29.6,61.3,.483,6.66,19.2,.347,16.2,23.5,.689,11.7,37.8,14.6,7.40,5.14,11.9,19.5
97,Florida NCAA,36,27,9,.750,22.40,11.01,,14,4,,9,1,,8,4,,77.9,66.5,,40.4,26.5,58.8,.450,7.72,21.6,.358,17.2,23.6,.729,11.6,37.0,12.5,7.56,4.64,12.0,18.4
98,Fordham,32,13,19,.406,-1.97,1.36,,7,11,,8,9,,5,8,,65.3,67.7,,40.6,23.2,55.7,.416,8.25,24.7,.334,10.8,14.8,.726,8.16,28.5,13.4,9.81,2.84,13.1,19.1
99,Fresno State,33,20,13,.606,4.37,2.31,,11,7,,13,2,,6,10,,73.5,70.2,,40.9,25.8,56.7,.455,6.33,18.0,.352,15.5,23.1,.672,9.52,35.6,12.5,8.39,3.85,13.5,21.8
100,Furman,35,23,12,.657,1.46,-3.75,,14,4,,11,3,,12,8,,74.0,66.3,,40.3,26.2,55.5,.473,9.11,23.7,.385,12.4,17.8,.697,9.06,34.6,15.0,7.00,2.34,12.9,17.5
101,Gardner-Webb,33,19,14,.576,-3.08,-5.71,,11,7,,9,5,,8,8,,77.2,70.3,,40.8,27.7,57.7,.479,6.33,16.7,.379,15.5,24.8,.624,11.3,38.2,14.7,8.82,3.58,14.4,20.3
102,George Mason,34,20,14,.588,3.01,1.28,,9,9,,10,7,,7,5,,74.1,71.7,,40.7,25.9,57.7,.448,5.35,15.9,.336,17.0,22.8,.747,11.2,40.3,11.7,4.97,2.82,12.9,16.8
103,George Washington,35,20,15,.571,2.37,2.11,,10,8,,14,3,,5,8,,69.9,69.7,,40.0,23.5,55.4,.424,7.89,21.2,.371,15.1,20.3,.745,11.3,36.5,13.3,5.49,3.89,12.9,15.5
104,Georgetown,32,14,18,.438,11.18,9.31,,5,13,,9,8,,3,7,,74.0,72.2,,40.3,25.3,54.8,.461,6.44,18.4,.349,17.1,23.3,.733,9.53,35.7,15.0,5.47,4.59,14.2,21.0
105,Georgia Southern,33,18,15,.545,-3.63,-2.83,,11,7,,10,4,,6,11,,75.5,73.3,,40.2,25.5,57.8,.441,9.18,25.4,.362,15.4,23.1,.664,9.70,34.8,10.4,6.79,3.09,11.8,19.4
106,Georgia State,33,20,13,.606,-0.33,-2.17,,12,6,,11,3,,6,9,,74.0,70.1,,40.2,26.8,57.2,.469,7.45,20.9,.357,12.9,19.9,.647,10.1,35.6,12.1,7.15,4.24,14.0,20.4
107,Georgia Tech,37,21,16,.568,7.82,8.21,,8,10,,16,4,,3,10,,67.5,66.8,,40.1,24.6,56.2,.438,4.62,13.9,.331,13.6,20.0,.682,9.62,35.9,15.4,6.62,5.97,13.4,16.0
108,Georgia,34,19,15,.559,11.13,10.28,,9,9,,12,6,,5,7,,71.6,70.4,,40.3,24.6,56.0,.439,5.15,15.8,.325,17.3,22.9,.757,9.71,37.0,12.6,5.35,3.71,13.1,18.6
109,Gonzaga NCAA,39,37,2,.949,25.26,4.13,,17,1,,15,1,,10,0,,82.6,61.5,,40.0,29.5,58.5,.504,7.33,19.2,.382,16.4,22.8,.717,9.69,40.7,15.3,6.79,4.69,11.5,16.9
